3m3f Hcap Hrd                                     | 398|06:38.000| 16
2m6f Hcap Hrd                                     | 325|05:25.000| 91
2m3f Hcap Hrd                                     | 270|04:30.000| 222
3m4f Hcap Chs                                     | 373|06:13.000| 16
3m1f Hcap Chs                                     | 377|06:17.000| 142
2m7f Hcap Chs                                     | 332|05:32.000| 102
1m6f Hcap                                         | 176|02:56.000| 267
2m4f Hcap Chs                                     | 294|04:54.000| 309
3m Hcap Hrd                                       | 351|05:51.000| 262
1m3f Hcap                                         | 138|02:18.000| 247
2m1f Hcap Chs                                     | 218|03:38.000| 116
1m7f Hcap Chs                                     | 226|03:46.000| 73
2m Hcap Hrd                                       | 226|03:46.000| 604
3m2f Hcap Hrd                                     | 369|06:09.000| 48
2m5f Hcap Hrd                                     | 303|05:03.000| 196
2m2f Hcap Hrd                                     | 261|04:21.000| 93
7f Hcap                                           | 80|01:20.000| 1245
6f Hcap                                           | 67|01:07.000| 1214
2m Hcap                                           | 200|03:20.000| 309
5f Hcap                                           | 55|00:55.000| 918
1m Hcap                                           | 93|01:33.000| 1462
3m3f Hcap Chs                                     | 419|06:59.000| 18
2m5f Hcap                                         | 293|04:53.000| 3
2m2f Hcap                                         | 241|04:01.000| 14
1m5f Hcap                                         | 159|02:39.000| 115
2m6f Hcap Chs                                     | 324|05:24.000| 66
2m3f Hcap Chs                                     | 280|04:40.000| 126
1m2f Hcap                                         | 120|02:00.000| 988
3m1f Hcap Hrd                                     | 372|06:12.000| 93
2m7f Hcap Hrd                                     | 344|05:44.000| 198
2m4f Hcap Hrd                                     | 296|04:56.000| 429
2m1f Hcap Hrd                                     | 245|04:05.000| 140
1m7f Hcap Hrd                                     | 199|03:19.000| 83
3m Hcap Chs                                       | 355|05:55.000| 302
2m4f Hcap                                         | 273|04:33.000| 1
3m2f Hcap Chs                                     | 380|06:20.000| 77
2m1f Hcap                                         | 229|03:49.000| 23
1m7f Hcap                                         | 201|03:21.000| 12
2m Hcap Chs                                       | 233|03:53.000| 191
2m5f Hcap Chs                                     | 324|05:24.000| 163
2m2f Hcap Chs                                     | 253|04:13.000| 39
1m4f Hcap                                         | 147|02:27.000| 835
1m1f Hcap                                         | 112|01:52.000| 224
