5f Hcap                                           |03:56.000
6f Hcap                                           |04:22.000
7f Hcap                                           |04:31.000
1m Hcap                                           |04:44.000
1m1f Hcap                                         |04:47.000
1m2f Hcap                                         |05:11.000
1m3f Hcap                                         |05:16.000
1m4f Hcap                                         |05:19.000
1m5f Hcap                                         |05:34.000
1m6f Hcap                                         |05:44.000
1m7f Hcap                                         |06:20.000
2m Hcap                                           |06:09.000
2m1f Hcap                                         |06:43.000
2m2f Hcap                                         |08:00.000
2m4f Hcap                                         |08:48.000
2m5f Hcap                                         |08:39.000
