GB/Kemp 7th Jan | TO BE PLACED | 107875974 | Da Ponte |  14 |  0 |  100 |  0 | -100
GB/Kemp 7th Jan | TO BE PLACED | 107875974 | Bloodsweatandtears |  15 |  3 |  100 |  483 |  359
GB/Kemp 7th Jan | TO BE PLACED | 107875976 | Lucilla |  11 |  2 |  100 |  491 |  366
GB/Kemp 7th Jan | TO BE PLACED | 107875980 | The Jailer |  15 |  0 |  100 |  0 | -100
GB/Kemp 7th Jan | TO BE PLACED | 107875984 | Prince Of Thebes |  11 |  0 |  100 |  0 | -100
GB/Kemp 7th Jan | TO BE PLACED | 107875984 | Herschel |  15 |  12 |  100 |  121 |  15
GB/Kemp 7th Jan | TO BE PLACED | 107875984 | Missionaire |  13 |  8 |  100 |  156 | -6
GB/Kemp 7th Jan | TO BE PLACED | 107875984 | Gower Rules |  12 |  7 |  100 |  164 |  56
GB/Kemp 7th Jan | TO BE PLACED | 107875984 | Calypso Magic |  12 |  3 |  100 |  383 |  264
GB/Kemp 7th Jan | TO BE PLACED | 107875986 | Perlachy |  12 |  4 |  100 |  288 |  173
GB/Wolv 7th Jan | TO BE PLACED | 107876015 | Lucky Mark |  16 |  3 |  100 |  517 |  391
GB/Wolv 7th Jan | TO BE PLACED | 107876019 | Moheebb |  13 |  3 |  100 |  433 |  268
GB/Wolv 7th Jan | TO BE PLACED | 107876019 | Hurricane Spear |  12 |  5 |  100 |  266 |  153
GB/Wolv 7th Jan | TO BE PLACED | 107876019 | Spin A Wish |  16 |  5 |  100 |  322 |  206
GB/Wolv 7th Jan | TO BE PLACED | 107876019 | Arabian Flight |  14 |  2 |  100 |  849 |  682
GB/Wolv 7th Jan | TO BE PLACED | 107876023 | Sacco Doro |  11 |  9 |  100 |  126 |  19
GB/Wolv 7th Jan | TO BE PLACED | 107876023 | Gangsterbanksters |  12 |  6 |  100 |  192 |  82
GB/Wolv 7th Jan | TO BE PLACED | 107876023 | Liberty Love |  16 |  2 |  100 |  775 |  598
GB/Wolv 7th Jan | TO BE PLACED | 107876023 | Easydoesit |  11 |  2 |  100 |  550 |  395
GB/Wolv 7th Jan | TO BE PLACED | 107876025 | Mey Blossom |  11 |  6 |  100 |  200 |  90
GB/Wolv 7th Jan | TO BE PLACED | 107876027 | Little Dolly |  12 |  3 |  100 |  383 |  226
GB/Wolv 7th Jan | TO BE PLACED | 107876027 | Rapscallion Deep |  12 |  1 |  100 |  1075 |  917
GB/Wolv 7th Jan | TO BE PLACED | 107876027 | So Vain |  12 |  2 |  100 |  491 |  367
GB/Taun 7th Jan | TO BE PLACED | 107876145 | Drumadoon |  18 |  0 |  100 |  0 | -100
GB/Taun 7th Jan | TO BE PLACED | 107876145 | Ordensritter |  12 |  9 |  100 |  138 |  31
GB/Taun 7th Jan | TO BE PLACED | 107876145 | Broken Eagle |  11 |  7 |  100 |  159 |  51
GB/Taun 7th Jan | TO BE PLACED | 107876147 | Fromthetop |  11 |  0 |  100 |  0 | -100
GB/Taun 7th Jan | TO BE PLACED | 107876147 | Forgive Intrusion |  12 |  7 |  100 |  171 |  63
GB/Taun 7th Jan | TO BE PLACED | 107876149 | Standing Ovation |  16 |  13 |  100 |  119 |  13
GB/Taun 7th Jan | TO BE PLACED | 107876149 | Military Precision |  11 |  7 |  100 |  163 |  55
GB/Taun 7th Jan | TO BE PLACED | 107876149 | Reyes Magos |  11 |  6 |  100 |  190 |  81
GB/Taun 7th Jan | TO BE PLACED | 107876149 | Mr Mistopheles |  16 |  0 |  100 |  0 | -100
GB/Taun 7th Jan | TO BE PLACED | 107876149 | Comical Red |  13 |  0 |  100 |  0 | -100
