2013-11-05 23:07:18.960 Connect db
2013-11-05 23:07:18.976 Greening_Up_2 - treat date 01-Jan-2012
2013-11-05 23:07:19.048 Greening_Up_2 - treat date 02-Jan-2012
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  1245096 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  1500161 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  4025238 | FALSE | 14.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  4082051 | FALSE | 10.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  4726894 | FALSE | 15.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:15:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 5f Hcap              |  104599350 |  5122402 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:30:00.000 | BACKED_LOST | GB/Folk 2nd Jan      | 2m6f Nov Hrd         |  104600931 |  5956017 | FALSE | 10.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:50:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 2m Hcap              |  104599352 |  1280991 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:50:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 2m Hcap              |  104599352 |  1297243 | FALSE | 11.50 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 12:50:00.000 | BACKED_LOST | GB/Sthl 2nd Jan      | 2m Hcap              |  104599352 |  2053545 | FALSE | 12.00 | 0.00 | 50.00 | 0.00 | -50.00
2012-01-02 13:25:00.000 | BACKED_LOST | GB/Ayr 2nd Jan       | 2m5f Beg Chs         |  104600837 |  295584 | FALSE | 12.50 | 0.00 | 50.00 | 0.00 | -50.00
